sid,run,template,seed,outcome,contact,impact_speed_ms,ttc_min_s,min_clearance_m,speed_at_crit_ms,ego_vmax_ms,t_crit_s,n_steps
30,0,lead_stopped,20290806,completed,0,0.0,0.6057,1.1474,3.2675,4.1859,12.2,801
30,1,lead_stopped,20290807,completed,0,0.0,0.4228,0.627,2.6621,4.2528,12.3,801
30,2,lead_stopped,20290808,completed,0,0.0,0.4513,0.6937,2.5514,4.1797,12.45,801
30,3,lead_stopped,20290809,completed,0,0.0,0.4918,0.832,3.0045,4.1782,12.25,801
30,4,lead_stopped,20290810,completed,0,0.0,0.4831,0.7849,2.6977,4.1917,12.3,801
31,0,lead_stopped,20291806,completed,0,0.0,0.7029,1.4879,3.2276,4.2101,15.8,801
31,1,lead_stopped,20291807,completed,0,0.0,0.6546,1.3566,3.6446,4.198,15.7,801
31,2,lead_stopped,20291808,completed,0,0.0,0.5944,1.1428,3.4407,4.2313,15.8,801
31,3,lead_stopped,20291809,completed,0,0.0,0.6097,1.1585,3.013,4.2599,15.9,801
31,4,lead_stopped,20291810,completed,0,0.0,0.7314,1.5,3.0643,4.2007,15.8,801
32,0,lead_stopped,20292806,completed,0,0.0,0.547,0.9877,3.2756,4.1776,10.7,801
32,1,lead_stopped,20292807,completed,0,0.0,0.4125,0.6066,2.6539,4.2008,10.8,801
32,2,lead_stopped,20292808,completed,0,0.0,0.6285,1.262,3.4312,4.1755,10.5,801
32,3,lead_stopped,20292809,completed,0,0.0,0.4895,0.8076,2.8152,4.1985,10.75,801
32,4,lead_stopped,20292810,completed,0,0.0,0.585,1.1259,3.2306,4.1759,10.55,801
33,0,lead_stopped,20293806,completed,0,0.0,0.639,1.2995,3.3744,4.1713,3.85,801
33,1,lead_stopped,20293807,completed,0,0.0,0.7026,1.5053,3.3583,4.1615,3.8,801
33,2,lead_stopped,20293808,completed,0,0.0,0.6046,1.1849,3.3632,4.226,3.85,801
33,3,lead_stopped,20293809,completed,0,0.0,0.6073,1.198,3.2701,4.1884,3.9,801
33,4,lead_stopped,20293810,completed,0,0.0,0.7102,1.5202,3.3339,4.1598,3.8,801
34,0,lead_stopped,20294806,completed,0,0.0,0.4951,0.8262,2.8269,4.1767,10.35,801
34,1,lead_stopped,20294807,completed,0,0.0,0.6778,1.3775,3.2967,4.1991,10.15,801
34,2,lead_stopped,20294808,completed,0,0.0,0.4329,0.6534,2.6778,4.1876,10.4,801
34,3,lead_stopped,20294809,completed,0,0.0,0.6672,1.2854,2.8782,4.2485,10.25,801
34,4,lead_stopped,20294810,completed,0,0.0,0.6432,1.238,3.0896,4.1889,10.25,801
35,0,lead_stopped,20295806,completed,0,0.0,0.7094,1.5452,3.435,4.1675,5.8,801
35,1,lead_stopped,20295807,completed,0,0.0,0.645,1.3031,3.2628,4.1805,5.9,801
35,2,lead_stopped,20295808,completed,0,0.0,0.7659,1.7722,3.6723,4.1824,5.7,801
35,3,lead_stopped,20295809,completed,0,0.0,0.6404,1.284,3.2357,4.1795,5.9,801
35,4,lead_stopped,20295810,completed,0,0.0,0.6265,1.2451,3.2727,4.2428,5.9,801
36,0,lead_stopped,20296806,completed,0,0.0,0.791,1.6319,2.8233,4.2534,3.65,801
36,1,lead_stopped,20296807,completed,0,0.0,0.6204,1.1707,3.1065,4.183,3.7,801
36,2,lead_stopped,20296808,completed,0,0.0,0.7688,1.5941,2.9722,4.194,3.55,801
36,3,lead_stopped,20296809,completed,0,0.0,0.7727,1.6343,3.104,4.2085,3.5,801
36,4,lead_stopped,20296810,completed,0,0.0,0.7389,1.5153,3.015,4.2101,3.65,801
37,0,lead_stopped,20297806,completed,0,0.0,0.5299,0.9337,3.0934,4.1617,2.8,801
37,1,lead_stopped,20297807,completed,0,0.0,0.5276,0.9305,3.1002,4.1615,2.8,801
37,2,lead_stopped,20297808,completed,0,0.0,0.529,0.9376,3.0962,4.1613,2.8,801
37,3,lead_stopped,20297809,completed,0,0.0,0.5259,0.9172,3.1047,4.1612,2.8,801
37,4,lead_stopped,20297810,completed,0,0.0,0.5285,0.9328,3.0975,4.1617,2.8,801
38,0,lead_stopped,20298806,completed,0,0.0,0.6559,1.2442,2.8662,4.1877,6.5,801
38,1,lead_stopped,20298807,completed,0,0.0,0.7379,1.4327,2.7537,4.1773,6.45,801
38,2,lead_stopped,20298808,completed,0,0.0,0.6747,1.3243,3.0108,4.2099,6.55,801
38,3,lead_stopped,20298809,completed,0,0.0,0.8762,1.6856,2.3946,4.2384,6.45,801
38,4,lead_stopped,20298810,completed,0,0.0,0.8711,1.9548,3.1489,4.1912,6.25,801
39,0,lead_stopped,20299806,completed,0,0.0,0.5242,0.9252,3.1287,4.1871,13.4,801
39,1,lead_stopped,20299807,completed,0,0.0,0.6058,1.1252,2.9029,4.2483,13.3,801
39,2,lead_stopped,20299808,completed,0,0.0,0.5104,0.8737,3.0552,4.1737,13.4,801
39,3,lead_stopped,20299809,completed,0,0.0,0.6492,1.2798,3.289,4.2553,13.25,801
39,4,lead_stopped,20299810,completed,0,0.0,0.4861,0.7985,2.8315,4.2112,13.4,801
40,0,lead_stopped,20300806,completed,0,0.0,0.5148,0.8992,3.1336,4.1726,12.75,801
40,1,lead_stopped,20300807,completed,0,0.0,0.5502,1.0063,3.3162,4.2085,12.7,801
40,2,lead_stopped,20300808,completed,0,0.0,0.6898,1.4171,3.2916,4.2,12.45,801
40,3,lead_stopped,20300809,completed,0,0.0,0.554,0.9658,2.8169,4.1752,12.7,801
40,4,lead_stopped,20300810,completed,0,0.0,0.583,1.1239,3.3963,4.1749,12.65,801
41,0,lead_stopped,20301806,completed,0,0.0,0.6071,1.2031,3.3833,4.1762,11.35,801
41,1,lead_stopped,20301807,completed,0,0.0,0.3146,0.3748,2.024,4.2102,11.95,801
41,2,lead_stopped,20301808,completed,0,0.0,0.6233,1.2435,3.4867,4.1866,11.3,801
41,3,lead_stopped,20301809,completed,0,0.0,0.5853,1.1217,3.2853,4.2053,11.4,801
41,4,lead_stopped,20301810,completed,0,0.0,0.6326,1.2793,3.4608,4.1691,11.3,801
42,0,lead_stopped,20302806,completed,0,0.0,0.6753,1.4081,3.4863,4.2084,13.6,801
42,1,lead_stopped,20302807,completed,0,0.0,0.5968,1.1626,3.2223,4.2099,13.85,801
42,2,lead_stopped,20302808,completed,0,0.0,0.6508,1.3513,3.6356,4.2099,13.7,801
42,3,lead_stopped,20302809,completed,0,0.0,0.5126,0.885,3.1099,4.2101,13.95,801
42,4,lead_stopped,20302810,completed,0,0.0,0.6658,1.4037,3.6407,4.245,14.0,801
43,0,lead_stopped,20303806,completed,0,0.0,0.4956,0.832,2.8715,4.195,14.7,801
43,1,lead_stopped,20303807,completed,0,0.0,0.4883,0.8077,2.8591,4.1916,15.65,801
43,2,lead_stopped,20303808,completed,0,0.0,0.558,1.0364,3.3018,4.1899,14.6,801
43,3,lead_stopped,20303809,completed,0,0.0,0.6156,1.2212,3.5646,4.21,14.55,801
43,4,lead_stopped,20303810,completed,0,0.0,0.5438,0.993,3.1226,4.1998,15.0,801
44,0,lead_stopped,20304806,completed,0,0.0,0.6839,1.4531,3.4808,4.191,9.5,801
44,1,lead_stopped,20304807,completed,0,0.0,0.5948,1.0996,2.862,4.1835,9.7,801
44,2,lead_stopped,20304808,completed,0,0.0,0.6743,1.4288,3.4785,4.1906,9.5,801
44,3,lead_stopped,20304809,completed,0,0.0,0.6983,1.5069,3.4356,4.1746,9.5,801
44,4,lead_stopped,20304810,completed,0,0.0,0.6794,1.4428,3.4536,4.182,9.5,801
45,0,lead_stopped,20305806,completed,0,0.0,0.8312,2.0188,3.7109,4.21,16.6,801
45,1,lead_stopped,20305807,completed,0,0.0,0.5067,0.8626,3.0981,4.1865,17.8,801
45,2,lead_stopped,20305808,completed,0,0.0,0.6613,1.2637,2.7973,4.2718,16.9,801
45,3,lead_stopped,20305809,completed,0,0.0,0.5191,0.8859,3.1486,4.21,17.0,801
45,4,lead_stopped,20305810,completed,0,0.0,0.6506,1.2602,3.087,4.1876,17.55,801
46,0,lead_stopped,20306806,completed,0,0.0,0.6679,1.4028,3.5571,4.1775,4.75,801
46,1,lead_stopped,20306807,completed,0,0.0,0.6731,1.4253,3.5491,4.1719,4.75,801
46,2,lead_stopped,20306808,completed,0,0.0,0.6121,1.2132,3.3096,4.1675,4.85,801
46,3,lead_stopped,20306809,completed,0,0.0,0.6031,1.1771,3.34,4.1696,4.85,801
46,4,lead_stopped,20306810,completed,0,0.0,0.6761,1.4348,3.534,4.176,4.75,801
47,0,lead_stopped,20307806,completed,0,0.0,0.6295,1.2679,3.3027,4.1774,7.65,801
47,1,lead_stopped,20307807,completed,0,0.0,0.6155,1.213,3.3156,4.1772,7.65,801
47,2,lead_stopped,20307808,completed,0,0.0,0.6423,1.318,3.4559,4.1653,7.6,801
47,3,lead_stopped,20307809,completed,0,0.0,0.6242,1.2513,3.3014,4.1685,7.65,801
47,4,lead_stopped,20307810,completed,0,0.0,0.6607,1.3612,3.4134,4.1765,7.6,801
48,0,lead_stopped,20308806,completed,0,0.0,0.7305,1.5222,3.1487,4.2116,1.85,801
48,1,lead_stopped,20308807,completed,0,0.0,0.6996,1.4851,3.316,4.1909,1.9,801
48,2,lead_stopped,20308808,completed,0,0.0,0.6995,1.4876,3.3163,4.1909,1.9,801
48,3,lead_stopped,20308809,completed,0,0.0,0.6111,1.1417,2.9628,4.16,2.0,801
48,4,lead_stopped,20308810,completed,0,0.0,0.5718,1.0326,3.111,4.1717,2.0,801
49,0,lead_stopped,20309806,completed,0,0.0,0.8407,1.7084,2.7326,4.1755,9.0,801
49,1,lead_stopped,20309807,completed,0,0.0,0.8011,1.7909,3.3116,4.1945,8.85,801
49,2,lead_stopped,20309808,completed,0,0.0,0.6572,1.2769,2.8988,4.2297,9.1,801
